"hc_x","hc_y","next_event_type","event_and_next_event_type","event_description","batter_name","pitcher_name","outs","balls","strikes","hit_trajectory","fld_score","bat_score","post_fld_score","post_bat_score","is_hit_into_play","is_hit_into_play_basehit","bat_side","pitch_hand","sport_id","game_pk","at_bat_number","event_inning","top_inning_sw","game_date"
"168.22","120.18","single","single","Marcus Chiu singles on a line drive to right fielder Tirso Ornelas.   Dillon Paulson to 2nd.  ","Marcus Chiu","Caleb Boushley",1,0,0,"line_drive",3,5,3,5,1,1,"R","R",13,"576752.00",31,3,"N","2019-08-29"
,,,"strikeout","Marcus Chiu strikes out swinging.  ","Marcus Chiu","Caleb Boushley",0,1,2,,3,7,3,7,0,0,"R","R",13,"576752.00",68,8,"N","2019-08-29"
,,,"strikeout","Marcus Chiu strikes out swinging.  ","Marcus Chiu","Caleb Boushley",2,1,2,,3,7,3,7,0,0,"R","R",13,"576752.00",47,5,"N","2019-08-29"
"169.01","120.97","single","single","Jacob Amaya singles on a line drive to right fielder Tirso Ornelas.  ","Jacob Amaya","Caleb Boushley",0,0,0,"line_drive",3,7,3,7,1,1,"R","R",13,"576752.00",66,8,"N","2019-08-29"
,,,"strikeout","Deacon Liput strikes out on a foul tip.  ","Deacon Liput","Caleb Boushley",0,2,2,,3,7,3,7,0,0,"L","R",13,"576752.00",53,6,"N","2019-08-29"
"122.14","101.91","field_out","field_out","Jeren Kendall flies out to center fielder Jeisson Rosario.  ","Jeren Kendall","Caleb Boushley",0,1,0,"fly_ball",3,7,3,7,1,0,"L","R",13,"576752.00",38,4,"N","2019-08-29"
"108.64","127.33","field_out","field_out","Dillon Paulson pops out to shortstop Xavier Edwards.  ","Dillon Paulson","Garrett Richards",0,2,1,"popup",1,0,1,0,1,0,"L","R",13,"576752.00",15,2,"N","2019-08-29"
,,,"strikeout","Jeren Kendall strikes out swinging.  ","Jeren Kendall","Garrett Richards",0,2,2,,1,0,1,0,0,0,"L","R",13,"576752.00",8,1,"N","2019-08-29"
"66.54","142.42","single","single","Dillon Paulson singles on a fly ball to left fielder Jack Suwinski.  ","Dillon Paulson","Caleb Boushley",1,3,2,"fly_ball",3,5,3,5,1,1,"L","R",13,"576752.00",30,3,"N","2019-08-29"
"111.82","171.02","grounded_into_double_play","grounded_into_double_play","Garrett Hope grounds into a double play, third baseman Gabriel Arias to second baseman Lee Solomon to first baseman Olivier Basabe.   Dillon Paulson out at 2nd.    Garrett Hope out at 1st.  ","Garrett Hope","Caleb Boushley",1,0,1,"ground_ball",3,7,3,7,1,0,"R","R",13,"576752.00",69,8,"N","2019-08-29"
"112.61","160.69","force_out","force_out","Garrett Hope grounds into a force out, shortstop Xavier Edwards to second baseman Lee Solomon.   Jacob Amaya to 3rd.    Marcus Chiu out at 2nd.    Garrett Hope to 1st.  ","Garrett Hope","Garrett Richards",1,1,1,"ground_ball",1,0,1,0,1,0,"R","R",13,"576752.00",17,2,"N","2019-08-29"
"103.08","70.93","double","double","Deacon Liput doubles (10) on a fly ball to center fielder Jeisson Rosario.   Dillon Paulson scores.    Marcus Chiu scores.  ","Deacon Liput","Caleb Boushley",2,1,0,"fly_ball",3,5,3,7,1,1,"L","R",13,"576752.00",33,3,"N","2019-08-29"
"151.53","161.48","field_out","field_out","Dillon Paulson grounds out, second baseman Lee Solomon to first baseman Olivier Basabe.  ","Dillon Paulson","Caleb Boushley",1,1,2,"ground_ball",3,7,3,7,1,0,"L","R",13,"576752.00",46,5,"N","2019-08-29"
"76.07","136.06","single","single","Dillon Paulson singles on a line drive to left fielder Jack Suwinski.   Jacob Amaya to 2nd.  ","Dillon Paulson","Caleb Boushley",0,2,2,"line_drive",3,7,3,7,1,1,"L","R",13,"576752.00",67,8,"N","2019-08-29"
,,,"walk","Brayan Morales walks.   Jacob Amaya scores.    Garrett Hope to 3rd.    Deacon Liput to 2nd.  ","Brayan Morales","Garrett Richards",2,3,2,,1,0,1,1,0,0,"R","R",13,"576752.00",19,2,"N","2019-08-29"
,,,"walk","Brayan Morales walks.  ","Brayan Morales","Garrett Richards",0,3,2,,1,0,1,0,0,0,"R","R",13,"576752.00",7,1,"N","2019-08-29"
,,,"walk","Jacob Amaya walks.  ","Jacob Amaya","Garrett Richards",0,3,2,,1,0,1,0,0,0,"R","R",13,"576752.00",14,2,"N","2019-08-29"
"164.24","144.80","field_out","field_out","Devin Mann pops out to second baseman Lee Solomon.  ","Devin Mann","Caleb Boushley",1,0,2,"popup",3,7,3,7,1,0,"R","R",13,"576752.00",39,4,"N","2019-08-29"
,,,"strikeout","Devin Mann strikes out swinging.  ","Devin Mann","Garrett Richards",1,2,2,,1,0,1,0,0,0,"R","R",13,"576752.00",9,1,"N","2019-08-29"
,,,"strikeout","Brayan Morales called out on strikes.  ","Brayan Morales","Caleb Boushley",1,2,2,,3,7,3,7,0,0,"R","R",13,"576752.00",54,6,"N","2019-08-29"
"109.43","171.81","field_out","field_out","Brayan Morales grounds out, third baseman Gabriel Arias to first baseman Olivier Basabe.  ","Brayan Morales","Caleb Boushley",2,1,0,"ground_ball",3,7,3,7,1,0,"R","R",13,"576752.00",34,3,"N","2019-08-29"
,,,"walk","Deacon Liput walks.   Garrett Hope to 2nd.  ","Deacon Liput","Garrett Richards",2,3,1,,1,0,1,0,0,0,"L","R",13,"576752.00",18,2,"N","2019-08-29"
"97.52","171.81","field_out","field_out","Miguel Vargas grounds out sharply, third baseman Gabriel Arias to first baseman Olivier Basabe.  ","Miguel Vargas","Garrett Richards",2,3,2,"ground_ball",1,0,1,0,1,0,"R","R",13,"576752.00",10,1,"N","2019-08-29"
"111.02","155.13","grounded_into_double_play","grounded_into_double_play","Miguel Vargas grounds into a double play, shortstop Xavier Edwards to second baseman Lee Solomon to first baseman Olivier Basabe.   Devin Mann out at 2nd.    Miguel Vargas out at 1st.  ","Miguel Vargas","Caleb Boushley",1,2,2,"ground_ball",3,7,3,7,1,0,"R","R",13,"576752.00",62,7,"N","2019-08-29"
"114.99","160.69","field_out","field_out","Miguel Vargas grounds out, shortstop Xavier Edwards to first baseman Olivier Basabe.  ","Miguel Vargas","Caleb Boushley",2,0,0,"ground_ball",3,7,3,7,1,0,"R","R",13,"576752.00",40,4,"N","2019-08-29"
"131.67","117.79","single","single","Miguel Vargas singles on a sharp ground ball to center fielder Jeisson Rosario.  ","Miguel Vargas","Caleb Boushley",0,3,2,"ground_ball",3,4,3,4,1,1,"R","R",13,"576752.00",28,3,"N","2019-08-29"
"103.87","89.99","field_out","field_out","Jacob Amaya flies out to left fielder Jack Suwinski.  ","Jacob Amaya","Caleb Boushley",0,0,0,"fly_ball",3,7,3,7,1,0,"R","R",13,"576752.00",45,5,"N","2019-08-29"
"124.53","117.00","single","single","Devin Mann singles on a ground ball to center fielder Jeisson Rosario.  ","Devin Mann","Caleb Boushley",1,0,0,"ground_ball",3,7,3,7,1,1,"R","R",13,"576752.00",61,7,"N","2019-08-29"
"118.17","166.25","field_out","field_out","Jeren Kendall grounds out, shortstop Xavier Edwards to first baseman Olivier Basabe.  ","Jeren Kendall","Caleb Boushley",0,0,0,"ground_ball",3,7,3,7,1,0,"L","R",13,"576752.00",60,7,"N","2019-08-29"
,,,"walk","Deacon Liput walks.  ","Deacon Liput","Angel Acevedo",0,3,2,,2,4,2,4,0,0,"L","R",13,"576751.00",51,6,"N","2019-08-28"
"158.68","117.00","double","double","Jeren Kendall doubles (11) on a fly ball to center fielder Jeisson Rosario.   Dillon Paulson scores.    Starling Heredia scores.    Brayan Morales scores.  ","Jeren Kendall","Osvaldo Hernandez",2,1,1,"fly_ball",0,1,0,4,1,1,"L","L",13,"576751.00",18,2,"N","2019-08-28"
"92.75","45.51","triple","triple","Jeren Kendall triples (10) on a fly ball to left fielder Olivier Basabe.  ","Jeren Kendall","Angel Acevedo",1,1,0,"fly_ball",2,4,2,4,1,1,"L","R",13,"576751.00",58,7,"N","2019-08-28"
"146.77","160.69","field_out","field_out","Tre Todd grounds out, second baseman Xavier Edwards to first baseman Olivier Basabe.  ","Tre Todd","Angel Acevedo",2,1,0,"ground_ball",2,4,2,4,1,0,"L","R",13,"576751.00",53,6,"N","2019-08-28"
"153.92","168.63","field_out","field_out","Jeren Kendall lines out sharply to first baseman Olivier Basabe.  ","Jeren Kendall","Angel Acevedo",0,1,2,"line_drive",2,4,2,4,1,0,"L","R",13,"576751.00",41,5,"N","2019-08-28"
